match_id;date;team;player;jersey;starter;minutes;points;rebounds;assists;fouls;turnovers;steals;blocks;plus_minus;efficiency;MIN_FL;FGA;FGM;FG3A;FG3M;FTA;FTM;OREB;DREB;Home_Team_Name;Is_Home;Arc3_Attempts;Corner3_Attempts;MidRange_Attempts;Rim_Attempts;Arc3_Made;Corner3_Made;MidRange_Made;Rim_Made;Arc3_Points;Corner3_Points;MidRange_Points;Rim_Points;Rim_Freq;Rim_PPS;MidRange_Freq;MidRange_PPS;Corner3_Freq;Corner3_PPS;Arc3_Freq;Arc3_PPS;Tm_MIN;Tm_FGA;Tm_FTA;Tm_TOV;Tm_REB;Tm_OREB;Tm_PTS;Poss;USG%;ORtg;TS%;eFG%;Reb_Share;Scoring_Share;Fouls_Per_Min;Blowout_Factor;Clutch_FGA;Clutch_FGM;Clutch_FG%;opponent;Opp_Avg_Pts_Allowed;Opp_FG_Allowed;Consistency_Index;Days_Rest;Season_Weight
2309844;2023-09-23;bk opava;j. sirina;24;1;34:13;28;2;8;2;0;2;0;-1;32;34.21666666666667;10.0;5.0;3.0;2.0;19.0;16.0;0.0;2.0;nh ostrava;0;3.0;0.0;3.0;4.0;2.0;0.0;2.0;1.0;6.0;0.0;4.0;2.0;0.4;0.5;0.3;1.3333333333333333;0.0;0.0;0.3;2.0;225.0;67.0;46.0;15;41;11.0;102;18.36;23.617104477816728;152.5054466230937;0.7625272331154684;0.6;0.04878048780487805;0.27450980392156865;0.058451047247929856;-0.029225523623964928;2.0;0.0;0.0;nh ostrava;102.0;0.3880597014925373;0.0;7.0;0.7
2309844;2023-09-23;bk opava;j. slavik;33;1;26:18;12;2;0;3;4;3;1;2;8;26.3;6.0;2.0;6.0;2.0;8.0;6.0;1.0;1.0;nh ostrava;0;4.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;3.0;0.6666666666666666;0.0;225.0;67.0;46.0;15;41;11.0;102;12.52;22.62625180742248;95.84664536741214;0.6302521008403361;0.5;0.04878048780487805;0.11764705882352941;0.11406844106463879;0.07604562737642585;0.0;0.0;0.0;nh ostrava;102.0;0.3880597014925373;0.0;7.0;0.7
2309844;2023-09-23;bk opava;j. svandrlik;8;1;24:29;7;4;1;3;0;1;0;2;9;24.483333333333334;7.0;3.0;4.0;1.0;0.0;0.0;2.0;2.0;nh ostrava;0;3.0;1.0;1.0;2.0;1.0;0.0;1.0;1.0;3.0;0.0;2.0;2.0;0.2857142857142857;1.0;0.14285714285714285;2.0;0.14285714285714285;0.0;0.42857142857142855;1.0;225.0;67.0;46.0;15;41;11.0;102;5.0;12.584013269542375;140.0;0.5;0.5;0.0975609756097561;0.06862745098039216;0.12253233492171545;0.08168822328114363;2.0;1.0;0.5;nh ostrava;102.0;0.3880597014925373;0.0;7.0;0.7
2309844;2023-09-23;nh ostrava;k. tyml;13;0;31:40;10;4;4;3;1;2;0;6;11;31.666666666666668;9.0;3.0;4.0;2.0;4.0;2.0;1.0;3.0;nh ostrava;1;3.0;1.0;2.0;3.0;1.0;1.0;1.0;0.0;3.0;3.0;2.0;0.0;0.3333333333333333;0.0;0.2222222222222222;1.0;0.1111111111111111;3.0;0.3333333333333333;1.0;225.0;76.0;28.0;16;46;17.0;96;10.76;16.01953503390378;92.93680297397769;0.4646840148698885;0.4444444444444444;0.08695652173913043;0.10416666666666667;0.09473684210526316;0.18947368421052632;4.0;2.0;0.5;bk opava;96.0;0.40789473684210525;0.0;7.0;0.7
2517865;2024-09-21;gba fruko-schulz jindrichuv hradec;l. festr;44;1;21:43;21;1;3;2;1;1;0;-10;22;21.716666666666665;10.0;7.0;9.0;7.0;0.0;0.0;0.0;1.0;usk praha;0;5.0;4.0;1.0;0.0;4.0;3.0;0.0;0.0;12.0;9.0;0.0;0.0;0.0;0.0;0.1;0.0;0.4;2.25;0.5;2.4;200.0;65.0;21.0;7;26;9.0;86;11.0;24.93960647568219;190.9090909090909;1.05;1.05;0.038461538461538464;0.2441860465116279;0.09209516500383731;-0.46047582501918655;1.0;1.0;1.0;usk praha;86.0;0.4307692307692308;0.0;7.0;0.7
2309844;2023-09-23;bk opava;l. jurecka;23;0;22:02;12;4;1;3;0;2;1;21;13;22.033333333333335;10.0;3.0;9.0;3.0;3.0;3.0;1.0;3.0;nh ostrava;0;5.0;4.0;1.0;0.0;2.0;1.0;0.0;0.0;6.0;3.0;0.0;0.0;0.0;0.0;0.1;0.0;0.4;0.75;0.5;1.2;225.0;67.0;46.0;15;41;11.0;102;10.32;22.6129850205621;116.27906976744187;0.5300353356890459;0.45;0.0975609756097561;0.11764705882352941;0.1361573373676248;0.9531013615733736;1.0;0.0;0.0;nh ostrava;102.0;0.3880597014925373;0.0;7.0;0.7
2309844;2023-09-23;nh ostrava;m. cank;19;0;3:57;1;1;0;0;0;0;0;-6;-1;3.95;2.0;0.0;1.0;0.0;2.0;1.0;0.0;1.0;nh ostrava;1;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.5;0.0;225.0;76.0;28.0;16;46;17.0;96;2.88;31.451425021355906;34.72222222222222;0.1736111111111111;0.0;0.021739130434782608;0.010416666666666666;0.0;-1.5189873417721518;0.0;0.0;0.0;bk opava;96.0;0.40789473684210525;0.0;7.0;0.7
2309844;2023-09-23;bk opava;m. gniadek;14;0;15:02;0;5;3;3;1;0;1;2;7;15.033333333333333;1.0;0.0;1.0;0.0;0.0;0.0;1.0;4.0;nh ostrava;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;225.0;67.0;46.0;15;41;11.0;102;1.0;5.855532306923582;0.0;0.0;0.0;0.12195121951219512;0.0;0.19955654101995565;0.13303769401330376;0.0;0.0;0.0;nh ostrava;102.0;0.3880597014925373;0.0;7.0;0.7
2309844;2023-09-23;nh ostrava;m. janu;23;0;1:15;0;0;0;0;0;1;0;0;0;1.25;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;nh ostrava;1;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;225.0;76.0;28.0;16;46;17.0;96;1.0;34.50920245398773;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;bk opava;96.0;0.40789473684210525;0.0;7.0;0.7
2517865;2024-09-21;usk praha;m. jezek;9;0;0:07;0;0;0;0;0;0;0;0;0;0.11666666666666667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;usk praha;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;199.98333333333332;62.0;30.0;13;37;12.0;98;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;gba fruko-schulz jindrichuv hradec;98.0;0.532258064516129;0.0;7.0;0.7
